numero_orden_campo,numero_campo_norma,descripcion_campo
0,1,PrimerNombreUsuario
1,2,SegundoNombreUsuario
2,3,PrimerApellidoUsuario
3,4,SegundoApellidoUsuario
4,5,TipoDeIdentificacionUsuario
5,6,NumeroDeIdentificacionUsuario
6,7,FechaDeNacimiento
7,8,Sexo
8,9,Ocupacion
9,10,RegimenDeAfiliacionAlSgsss
10,11,EPS
11,12,PertenenciaEtnica
12,13,GrupoPoblacional
13,14,MunicipioDeResidencia
14,15,NumeroTelefonicoDelPaciente
15,16,FechaDeAfiliacionALaEpsQueRegistra
16,17,EstadoDeGestacionALaFechaDeCorte
17,18,UsuarioEnProgramaDePlanificacionOConsejeriaGenetica
18,19,EdadUsuarioEnElMomentoDelDiagnostico
19,20,MotivoDeLaPruebaDeDiagnostico
20,21,FechaDeDiagnostico
21,22,IpsDondeSeRealizaLaConfirmacionDx
22,23,TipoDeDeficienciaDiagnosticada
23,24,ClasificacionDeSeveridadSegunNivelDeFactor
24,25,ActividadCoagulanteDelFactor
25,26,AntecedentesFamiliaresAsociadosAHemofilia
26,27,FactorRecibidoTratamientoInicial
27,28,EsquemaTratamientoInicial
28,29,FechaDeInicioDelPrimerTratamiento
29,30,FactorRecibidoTratamientoActual
30,31,EsquemaTratamientoActual
31,32,Peso
32,32.1,Dosis
33,32.2,FrecuenciaPorSemana
34,32.3,NumeroDeUnidadesTotalesEnElPeriodo
35,32.4,NumeroDeAplicacionesDelFactorEnElPeriodo(Demanda)
36,33,ModalidadDeAplicacionTratamiento
37,34,ViaDeAdministracion
38,35,CodigoCumDelFactorPosRecibido
39,36,CodigoCumDelFactorNoPosRecibido
40,37,CodigoCumDeOtrosTratamientosUtilizados
41,38,CodigoCumDeOtrosTratamientosUtilizados
42,39,CodigoValidoDeHabilitacionDeLaIpsDondeSeRealizaElSeguimientoActual
43,40,Hemartrosis
44,40.1,NumeroDeHemartrosisEspontaneasDuranteLosultimosDoceMeses
45,40.2,NumeroDeHemartrosisTraumaticasDuranteLosultimosDoceMeses
46,41,HemorragiaDelIlio-Psoas
47,42,HemorragiaDeOtrosMuscular/TejidosBlandos
48,43,HemorragiaIntracraneal
49,44,HemorragiaEnCuelloOGarganta
50,45,HemorragiaOral
51,46,OtrasHemorragias
52,47.1,NumeroDeOtrasHemorragiasEspontaneasDiferentesAHemartrosisDuranteLosultimosDoceMeses
53,47.2,NumeroDeOtrasHemorragiasTraumaticasDiferentesAHemartrosisDuranteLosultimosDoceMeses
54,47.3,NumeroDeOtrasHemorragiasAsociadasAProcedimientoDiferentesAHemartrosisDuranteLosultimosDoceMeses
55,48,PresenciaDeInhibidor
56,48.1,FechaDeDeterminacionDeTitulosDelInhibidor(UltimaMasCercanaALaFechaDeCorte)
57,48.2,HaRecibidoElPacienteIti-InduccionALaToleranciaInmune-
58,48.3,EstaRecibiendoItiEnElPeriodoDeCorte
59,48.4,TiempoQueLlevaElPacienteEnIti(Dias)
60,49,ArtropatiaHemofilicaCronica
61,49.1,NumeroDeArticulacionesComprometidas
62,50,UsuarioInfectadoPorVhc
63,51,UsuarioInfectadoPorVhb
64,52,UsuarioInfectadoPorVih
65,53,Pseudotumores
66,54,Fracturas(osteopenia/osteoporosis)
67,55,Anafilaxis
68,55.1,AQueFactorSeLeAtribuyeLaReaccionAnafilactica?
69,56,ReemplazosArticulares
70,56.1,ReemplazosArticularesEnElPeriodoDeCorte
71,57,SeleccionarElProfesionalQueLideraLaAtencionDelPaciente
72,57.1,ConsultasConHematologo
73,57.2,ConsultasConOrtopedista
74,57.3,IntervencionPorParteDelProfesionalDeEnfermeria
75,57.4,ConsultasConOdontologo
76,57.5,ConsultasConNutricionista
77,57.6,IntervencionPorParteDeTrabajoSocial
78,57.7,ConsultasConFisiatria
79,57.8,ConsultasConPsicologia
80,57.9,IntervencionPorParteDeQuimicoFarmaceutico
81,57.10,IntervencionPorParteDeFisioterapia
82,57.11,PrimerNombreDelMedicoTratantePrincipal
83,57.12,SegundoNombreDelMedicoTratantePrincipal
84,57.13,PrimerApellidoDelMedicoTratantePrincipal
85,57.14,SegundoApellidoDelMedicoTratantePrincipal
86,58,NumeroDeAtencionesEnElServicioDeUrgenciasQueRequierenTratamientoParaLaCondicionDeHemofilia
87,59,NumeroDeEventosHospitalariosPorCausaDeLaHemofiliaIncluyeEventosProgramadosYNoProgramados)
88,60,CostoDeFactoresPos
89,61,CostoDeFactoresNoPos
90,62,CostoTotalDelManejoAsociadoALaCoagulopatia
91,63,CostoIncapacidadesLaboralesRelacionadasConLaCoagulopatia
92,64,Novedades
93,64.1,CausaDeMuerte
94,64.2,FechaDeMuerte
95,65, Codigo Unico BDUA
