EPS001,1,ALIANSALUD EPS,Salazar Sierra Santiago,Calle 63 No. 28-76,3147700,notificacionesjudiciales@aliansalud.com.co,Aliansalud EPS,Bogotá D.C.,Bogotá D.C
EPS002,1,SALUD TOTAL S.A ENTIDAD PROMOTORA DE SALUD,Miguel Angel Rojas Cortes,KR 18 109 15,0,saludtot@impsat.net.co,SALUD TOTAL S.A,Bogotá D.C.,Bogotá D.C
EPS003,1,CAFESALUD MEDICINA PREPAGADA SA,ANIBAL RODRIGUEZ GUERRERO,CALLE 73 No 12-02,2188977,cafesa@impsat.net.co,CAFESALUD,Bogotá D.C.,Bogotá D.C
EPS005,1,SANITAS S.A. EPS,ECHANDIA BAUTISTA JUAN CARLOS,CL 100 11B 67 Piso 4A,6466060 ext 10101,autorisanitas@colsanitas.com,SANITAS S.A. EPS,Bogotá D.C.,Bogotá D.C
EPS008,1,COMPENSAR EPS,RODRIGUEZ ARDILA NESTOR RICARDO,AVENIDA 68 No.49 A 47,4280666 ext.3147 4639,NOVEDADESCAJA@COMPENSAR.COM,COMPENSAR,Bogotá D.C.,Bogotá D.C
EPS009,1,ENTIDAD PROMOTORA DE SALUD PROGRAMA COMFENALCO ANTIOQUIA DE LA CAJA DE COMPENSACION FAMILIAR COMFENALCO ANTIOQUIA,RICARDO F. SIERRA CARO,KR 50 53 43,5113133,emailinstitucional@comfenalcoantioquia.com,COMFENALCO ANTIOQUIA EPS,Antioquia,MEDELLÍN
EPS010,1,EPS Y MEDICINA PREPAGADA SURAMERICANA S.A.,GABRIEL MESA NICHOLLS,CL 49A 63 55 PI 9,4938600,sucruch@SURAMERICANA.COM.CO,EPS SURA,Antioquia,MEDELLÍN
EPS012,1,COMFENALCO VALLE EPS,FELICE DE JESUS GRIMOLDI REBOLLEDO,CALLE 5 No. 6-63,8833451,comfenalco@comfenalcovalle.com.co,COMFENALCO VALLE EPS,Valle del Cauca,CALI
EPS013,1,SALUDCOOP EPS,PALACINO ANTIA CARLOS GUSTAVO,AVENIDA 13 No 109-20,0,ijpinto@saludcoop.coop,SALUDCOOP EPS,Bogotá D.C.,Bogotá D.C
EPS014,1,HUMANA VIVIR SA EPS,NOHRA JEANETHE MÉNDEZ RIVERA,CALLE 76 NO. 11 - 52 PISO 6,913120339,humvivir@cable.net.co,HUMANA VIVIR EPS,Bogotá D.C.,Bogotá D.C
EPS015,1,SALUD COLPATRIA E.P.S.,CAMILO ARTURO SANZ ÁLVAREZ,Avenida 15 No. 104 -33,2869998,saludcolpatria@ui.colpatria.com,SALUD COLPATRIA E.P.S.,Bogotá D.C.,Bogotá D.C
EPS016,1,COOMEVA EPS,Pineda Arbelaez Piedad Cecilia,CARRERA 39 No.5 A 76,(2) 3330000,crauh_bogota@coomeva.com.co,COOMEVA EPS,Valle del Cauca,CALI
EPS017,1,FAMISANAR  LTDA.  CAFAM - COLSUBSIDIO E.P.S.,JUAN CARLOS FERNANDEZ MANOTAS,CRA 13A 77A-63,6911327,comunicacionesfamisanar@famisanar.com.co,FAMISANAR LTDA EPS,Bogotá D.C.,Bogotá D.C
EPS018,1,SERVICIO OCCIDENTAL DE SALUD S.A. S.O.S. EPS,Ayala Moreno Octavio de Jesus,Av Las Americas 23N  55,4898686,servicioalcliente@sos.com.co,S.O.S. EPS,Valle del Cauca,CALI
EPS023,1,CRUZ BLANCA EPS S.A,ISAACS CABRAL MARIA FERNANDA,CALLE 86 A No 14 17,0,pytcontabilidad@saludcoop.coop,CRUZ BLANCA EPS S.A,Bogotá D.C.,Bogotá D.C
EPS024,1,CAJANAL EPS,Martha Inés Villegas Bello,TRANS 45 # 41 - 43 CAN,0,cajanali@cable.net.co,CAJANAL EPS,Bogotá D.C.,Bogotá D.C
EPS026,1,SOLIDARIA DE SALUD SOLSALUD ENTIDAD PROMOTRA DE SALUD DEL REGIMEN CONTRIBUTIVO Y SUBSIDIADO SOLSALUD SA,SERGIO RUGELES LÓPEZ,Carrera 26 #30-70 Bucaramanga,(091) 2320117,solsalud@col1.telecom.com.co,SOLSALUD,Santander,BUCARAMANGA
EPS033,1,SALUDVIDA EPS SA,JUAN CARLOS LÓPEZ AGUILAR,Av. Calle 40 A #13-06,3203860,anaaldana@saludvidaeps.com,SALUDVIDA,Bogotá D.C.,Bogotá D.C
EPS034,1,SALUDCOLOMBIA EPS SA,GARCIA RODRIGUEZ MILCIADES,CR 44 5E 47,5529387,mbermudez@saludcolombiaeps.com.co,SALUDCOLOMBIA EPS SA,Valle del Cauca,CALI
EPS035,1,RED SALUD ATENCION HUMANA EPS SA,ORDOEZ DE GODOY CARMEN DEYANIRA,CL  57   26    12,6494941,gerenciaredsaludeps@yahoo.com,HUMANA EPS SA,Bogotá D.C.,Bogotá D.C
