A00,COLERA
A01,FIEBRES TIFOIDEA Y PARATIFOIDEA
A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA
A03,SHIGELOSIS
A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A05,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS
A06,AMEBIASIS
A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A09,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A15,TUBERCULOSIS RESPIRATORIA CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A16,TUBERCULOSIS RESPIRATORIA NO CONFIRMADA BACTERIOLOGICA O HISTOLOGICAMENTE
A17,TUBERCULOSIS DEL SISTEMA NERVIOSO
A18,TUBERCULOSIS DE OTROS ORGANOS
A19,TUBERCULOSIS MILIAR
A20,PESTE
A21,TULAREMIA
A22,CARBUNCO ÁNTRAX
A23,BRUCELOSIS
A24,MUERMO Y MELIOIDOSIS
A25,FIEBRES POR MORDEDURA DE RATA
A26,ERISIPELOIDE
A27,LEPTOSPIROSIS
A28,OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A30,LEPRA ENFERMEDAD DE HANSEN
A31,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A32,LISTERIOSIS
A33,TETANOS NEONATAL
A34,TETANOS OBSTOTRICO
A35,OTROS TETANOS
A36,DIFTERIA
A37,TOS FERINA TOS CONVULSIVA
A38,ESCARLATINA
A39,INFECCION MENINGOCOCICA
A40,SEPTICEMIA ESTREPTOCOCICA
A41,OTRAS SEPTICEMIAS
A42,ACTINOMICOSIS
A43,NOCARDIOSIS
A44,BARTONELOSIS
A46,ERISIPELA
A48,OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
