J01FA09,CLARITROMICINA,CLARITROMICINA,INVIMA 2007M-006314-R1,Vigente,Activo,ORAL,A,mg,500,TABLETA,TABLETA CUBIERTA CON PELICULA
C10AA05,ATORVASTATIN,ATORVASTATINA CALCICA EQUIVALENTE A ATORVASTATINA,INVIMA 2007 M-006613 R1,Vigente,Activo,ORAL,A,mg,20,TABLETA RECUBIERTA,TABLETA CUBIERTA CON PELICULA
B05BA01,AMINOACIDOS,AMINOACIDOS ESENCIALES ISOLEUCINA USP,INVIMA 2008 M-010897 R1,Vigente,Activo,PARENTERAL,A,g,82,100 mL,SOLUCION INYECTABLE
B05CB01,SODIO CLORURO,SODIO CLORURO,INVIMA 2012M-03418-R3,Vigente,Activo,PARENTERAL,A,g,9,100mL,SOLUCION INYECTABLE
B05XA30,ELECTROLITOS COMBINACIONES,CLORURO DE SODIO,INVIMA 2012M-03321-R2,Vigente,Inactivo,INTRAVENOSA,A,mg,860,100 mL,SOLUCION INYECTABLE
A06AB06,SENNA GLICOSIDOS,POLVO DE SENNA ALEXANDRINA MILLER SEN Y EXTRACTO CONCENTRADO 43 DE SENNA ALEXANDRINA MILLER SEN EQUIVALENTES A POLVO DE HOJAS DE SEN,INVIMA 2005M-003942 R1,Vigente,Activo,ORAL,A,mg,400,CAPSULA,CAPSULA DURA
D07AD01,CLOBETASOL,CLOBETASOL 17 PROPIONATO,INVIMA 2011M-012252-R1,Vigente,Activo,TOPICA EXTERNA,D,g,5,100 g,CREMA TOPICA
M02AX10,VARIOS,EUCALIPTOL EN LA FABRICACIÓN SE AGREGA EXCESO DEL 10,INVIMA M-002460-R2,Vigente,Inactivo,TOPICA EXTERNA,D,mg,1700,CADA 100 gm DE UNGUENTO CONTIENEN,POMADA
A03AX04,PINAVERIUM,BROMURO DE PINAVERIO,INVIMA 2008 M-011466 R1,Vigente,Activo,ORAL,A,mg,100,TABLETA RECUBIERTA,TABLETA CUBIERTA CON PELICULA
J01AA07,TETRACICLINA,TETRACICLINA CLORHIDRATO,INVIMA 2011M-003978-R3,Vigente,Activo,ORAL,A,mg,500,CAPSULA,CAPSULA DURA
J06BB01,INMUNOGLOBULINA ANTI D RH, RHO D GLOBULINA HUMANA,INVIMA 2010 M-13958- R1,Vigente,Activo,INTRAMUSCULAR,A,mcg,300,VIAL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE
A11HA03,TOCOFEROL VIT E,DL-ALFATOCOFERIL ACETATOVITAMINA E SINTETICA,INVIMA 2004 M-004704-R2,Vigente,Activo,ORAL,A,mg,100,CAPSULA,CAPSULA BLANDA
M01AE01,IBUPROFENO,IBUPROFENO DE 63EQUIVALENTE A IBUPROFENO,INVIMA 2007M-006625-R1,Vigente,Activo,ORAL,A,mg,200,TABLETA,TABLETA RECUBIERTA
D10AD51,TETRINOINA COMBINACIONES,TRETINOINA,INVIMA 2008M-010802-R1,Vigente,Activo,TOPICA EXTERNA,D,g,25,100g,GEL TOPICO
J01EE01,SULFAMETOXAZOL Y TRIMETOPRIM,SULFAMETOXAZOL 100,INVIMA  2008M-007218-R2,Vigente,Activo,ORAL,B,g,4,100mL,SUSPENSION ORAL
A03DB04,BUTILESCOPOLAMINA Y ANALGESICOS,N-BUTILBROMURO DE HIOSCINA,INVIMA 2007M-008252-R2,Vigente,Activo,INTRAMUSCULAR,A,mg,20,AMPOLLA DE 5mL,SOLUCION INYECTABLE
R06AX13,LORATADINA,LORATADINA,INVIMA 2005 M-002539 R-1,Vigente,Activo,ORAL,A,mg,10,TABLETA,TABLETA
L01BC01,CITARABINA,CITARABINA,INVIMA 2008 M-009873-R2,Vigente,Activo,INTRAVENOSA,A,mg,1000,20 mL,SOLUCION INYECTABLE
N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ACETAMINOFEN,RSM-Exp 2004015250-R1,Vigente,Activo,ORAL,A,mg,500,CÁPSULA,CAPSULA DURA
B05BB02,ELECTROLITOS CON CARBOHIDRATOS,DEXTROSA MONOHIDRATO,INVIMA 2011M-03417-R2,Vigente,Activo,INTRAVENOSA,C,g,5,100mL,SOLUCION INYECTABLE
A01AC03,HIDROCORTISONA,SUCCINATO SODICO HEMISUCCINATO DE HIDROCORTISONA EQUIVALENTE A HIDROCORTISONA,INVIMA 2009 M-001819-R3,Vigente,Activo,INTRAMUSCULAR,A,mg,100, 2 mL AL MEZCLARSE,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE
D10AD02,RETINOL,ACIDO RETINOICO TRETINOINA,INVIMA 20006M-007851-R2,Vigente,Activo,TOPICA EXTERNA,D,g,5,100 mL,LOCION
N05BA08,BROMAZEPAM,BROMAZEPAN,INVIMA 2005M-000691 R1,Vigente,Activo,ORAL,A,mg,6,TABLETA,TABLETA
D10AD01,TETRINOINA,ACIDO RETINOICO TRETINOINA,INVIMA 2011M- 012228-R2,Vigente,Activo,TOPICA EXTERNA,D,g,5,100 g,CREMA TOPICA
N01BB52,LIDOCAINA COMBINACIONES,LIDOCAINA CLORHIDRATO MONOHIDRATO 2133 MG EQUIVALENTE A LIDOCAINA CLORHIDRATO,INVIMA 2009 M-010167-R2,Vigente,Activo,PARENTERAL,A,mg,20,mL,SOLUCION INYECTABLE
P02CC01,PIRANTEL,PAMOATO DE PIRANTEL MICRONIZADO EQUIVALENTE A PIRANTEL BASE,INVIMA 2008 M-000483-R3,Vigente,Activo,ORAL,B,g,5,100mL DE SUSPENSION,SUSPENSION ORAL
D02AB99,OXIDO DE ZINC, OXIDO DE ZINC,INVIMA 2012M-012210-R2,Vigente,Activo,TOPICA EXTERNA,D,g,25,100g,PASTA
A11GA01,ACIDO ASCORBICO VIT C,ACIDO ASCOBICO,INVIMA 2005M- 0007923-R2,Vigente,Activo,ORAL,A,mg,260,TABLETA,TABLETA MASTICABLE
A02BA02,RANITIDINA,RANITIDINA CLORHIDRATO 1674 MG  EQUIVALENTE A RANITIDINA  BASE,INVIMA 2011M-011757-R2,Vigente,Activo,ORAL,A,mg,150, TABLETA RECUBIERTA,TABLETA RECUBIERTA
J02AC01,FLUCONAZOL,FLUCONAZOL,INVIMA 2012 M 013726-R2,Vigente,Activo,ORAL,A,mg,150,CÁPSULA,CAPSULA DURA
J02AB02,KETOCONAZOL, KETOCONAZOL,INVIMA 2011M-012260-R1,Vigente,Activo,ORAL,A,mg,200,TABLETA,TABLETA
A02AF02,SAL COMUN COMBINACIONES Y ANTIFLATULENTOS,GEL FLUIDO DE HIDROXIDO DE ALUMINIO Y MAGNESIO EWUIVALENTE A 4 G DE HIDROXIDO DE ALUMINIO   EQUIVALENTE A 4 G DE HIDROXIDO DE MAGNESIO,INVIMA 2011 M-012257-R2,Vigente,Activo,ORAL,B,g,5797,100mL,SUSPENSION ORAL
P03AC04,PERMETRINA, PERMETRINA,INVIMA 2010 M-012172-R2,Vigente,Activo,TOPICA EXTERNA,D,g,5,100 g DE CREMA,CREMA TOPICA
N06AB06,SERTRALINA,SERTRALINA CLORHIDRATO EQUIVALENTE A SERTRALINA BASE,INVIMA 2007M- 007012-R1,Vigente,Activo,ORAL,A,mg,100,TABLETA,TABLETA CUBIERTA CON PELICULA
C09AA02,ENALAPRIL,ENALAPRIL MALEATO,INVIMA 2009 M-011529-R2,Vigente,Activo,ORAL,A,mg,5,TABLETA,TABLETA
D01AC05,ISOCONAZOL,NITRATO DE ISOCONAZOL,INVIMA 2005 M-000894 R1,Vigente,Activo,TOPICA EXTERNA,B,g,1,100mL,SOLUCION TOPICA
D01BA02,TERBINAFINA,CLORHIDRATO DE TERBINAFINA  EQUIVALENTE A TERBINAFINA,INVIMA 2013 M-014163-R2,Vigente,Activo,ORAL,A,mg,250,COMPRIMIDO,TABLETA
R03CC02,SALBUTAMOL,SALBUTAMOL SULFATO 82 4878 MG EQUIVALENTE A SALBUTAMOL BASE,INVIMA 2006 M-009251-R2,Vigente,Activo,ORAL,A,mg,4,TABLETA,TABLETA
M01AE02,NAPROXENO,NAPROXENO,INVIMA 2009 M-010156-R2,Vigente,Activo,ORAL,A,mg,500,TABLETA,TABLETA
C08DB01,DILTIAZEM,DILTIAZEM MICROGRANULOS 163636 MG  USP EQUIVALENTES A DILTIAZEM CLORHIDRATO,INVIMA 2006 M-005539 R1,Vigente,Activo,ORAL,A,mg,90, CÁPSULA,CAPSULA DE LIBERACION PROLONGADA
A11CB99,VITAMINAS A Y D EN COMBINACION,VITAMINA A PROVENIENTE DE ACEITE DE HIGADO DE BACALAO 1275 UI  Y VITAMINA A 48727 UI ,INVIMA 2009 M-012785 R1,Vigente,Activo,ORAL,A,IU,5000,CAPSULA BLANDA,CAPSULA BLANDA
C03CA01,FUROSEMIDA,FUROSEMIDA,INVIMA 2004 M-004573-R2,Vigente,Activo,ORAL,A,mg,40,TABLETA,TABLETA
N02BE01,PARACETAMOL,ACETAMINOFEN ENCAPSULADO ACETAMINOFEN + ETILCELULOSA DE 92 EQUIVALENTE A,INVIMA 2010M-011879-R2,Vigente,Activo,ORAL,A,mg,100,TABLETA,TABLETA MASTICABLE
A03FA01,METOCLOPRAMIDA, METOCLOPRAMIDA CLORHIDRATO MONOHIDRATO USPBPEP EQUIVALENTE A 400 MG DE METOCLOPRAMIDA BASE,INVIMA 2006M-005660-R1,Vigente,Activo,ORAL,B,mg,470571,100 mL,SOLUCION ORAL
J05AB01,ACICLOVIR,ACICLOVIR MICRONIZADO 94 2128 G  EQUIVALENTE  A ACICLOVIR,INVIMA 2005M-003061 R1,Vigente,Activo,ORAL,E,g,2,CADA 3333 g DE POLVO PARA RECONSTITUIR A 100 ML DE SUSPENSION,POLVO PARA RECONSTITUIR A SUSPENSION ORAL
D06BB03,ACICLOVIR,ACICLOVIR 94 BASE HUMEDA EQUIVALENTE A 500G DE ACICLOVIR BASE ANHIDRO,INVIMA 2006M-004886 - R1,Vigente,Activo,VAGINAL,D,g,5319,100g,CREMA VAGINAL
N02BB52,METAMIZOL SODIO COMBINACIONES EXCLUYENDO SICOLEPTICOS,METAMIZOL SODICO DIPIRONA,INVIMA 2012M-003797-R3,Vigente,Inactivo,ORAL,C,mg,300,mL,SOLUCION ORAL
